Date,Average Temperature (°C),Average Wind Speed (km/h),Average Wind Gusts (km/h),Wind Direction (°),Season,Precipitation,Average Relative Humidity (%),Average Sunshine Duration (hours)
2024-07-30,12.365918,8.569585,19.709997,124.36861419677734,Winter,0.0,34.179882,35430.348
2024-07-31,15.670082,12.819911,27.314997,78.06317901611328,Winter,0.0,47.231617,34562.86
2024-08-01,15.782581,12.389488,27.705,59.23897933959961,Winter,0.0,62.412888,36050.547
2024-08-02,15.638833,8.407933,20.13,47.27156066894531,Winter,0.0,63.112522,36282.293
2024-08-03,16.653418,7.717812,17.309998,107.88932800292969,Winter,0.0,50.67159,36520.82
2024-08-04,18.33883,10.188371,22.35,337.18193435668945,Winter,0.0,37.604008,35802.777
2024-08-05,15.6534195,12.026723,26.895002,165.48973083496094,Winter,0.0,25.309305,36850.168
2024-08-06,12.870082,7.75905,18.51,132.91995239257812,Winter,0.0,42.3682,36924.895
2024-08-07,14.024249,6.682543,15.2699995,90.81074523925781,Winter,0.0,46.91049,37000.65
2024-08-01,15.782581,12.389488,27.705,59.23897933959961,Winter,0.0,62.412888,36050.547
2024-08-02,15.638833,8.407933,20.13,47.27156066894531,Winter,0.0,63.112522,36282.293
2024-08-03,16.653418,7.717812,17.309998,107.88932800292969,Winter,0.0,50.67159,36520.82
2024-08-04,18.33883,10.188371,22.35,337.18193435668945,Winter,0.0,37.604008,35802.777
2024-08-05,15.6534195,12.026723,26.895002,165.48973083496094,Winter,0.0,25.309305,36850.168
2024-08-06,12.870082,7.75905,18.51,132.91995239257812,Winter,0.0,42.3682,36924.895
2024-08-07,14.024249,6.682543,15.2699995,90.81074523925781,Winter,0.0,46.91049,37000.65
2024-08-08,17.145084,7.7249303,17.279999,347.1786804199219,Winter,0.0,40.84769,37077.344
2024-08-09,18.957582,7.137469,16.515,232.3859405517578,Winter,0.0,27.477957,37154.914
2024-08-10,16.793001,8.672373,19.589998,176.8006134033203,Winter,0.0,14.419246,37233.273
2024-08-11,17.265917,10.566974,23.505,219.9708251953125,Winter,0.0,15.66582,37312.363
2024-08-12,16.634665,7.991216,16.979998,149.1310577392578,Winter,0.0,22.989016,37392.094
2024-08-13,16.97425,10.527208,23.43,345.3302946090698,Winter,0.0,44.182446,37472.4
2024-08-14,16.440916,11.145896,24.705,205.09722900390625,Winter,0.0,26.06517,37553.22
2024-08-10,16.793001,8.672373,19.589998,176.8006134033203,Winter,0.0,14.419246,37233.273
2024-08-11,17.265917,10.566974,23.505,219.9708251953125,Winter,0.0,15.66582,37312.363
2024-08-12,16.634665,7.991216,16.979998,149.1310577392578,Winter,0.0,22.989016,37392.094
2024-08-13,16.97425,10.527208,23.43,345.3302946090698,Winter,0.0,44.182446,37472.4
2024-08-14,16.440916,11.145896,24.705,205.09722900390625,Winter,0.0,26.06517,37553.22
2024-08-15,14.636749,7.454265,17.52,149.16217041015625,Winter,0.0,22.15034,37619.426
2024-08-16,15.592999,7.977104,17.999998,75.65067291259766,Winter,0.0,26.649672,37648.152
2024-08-17,16.295084,6.027613,15.314999,153.8385772705078,Winter,0.0,26.421701,37676.63
2024-08-18,17.578417,5.9926715,15.195,153.9353790283203,Winter,0.0,23.97869,37704.836
2024-08-19,18.79925,8.859601,19.710001,101.11077880859375,Winter,0.0,20.557165,37732.758
2024-08-20,18.159668,7.084642,17.31,84.22200012207031,Winter,0.0,43.054462,37760.395
